date,category,name,price,availability,url
2026-05-21,Płyta główna,ASUS TUF GAMING B850-PLUS WIFI,809.0,,https://www.x-kom.pl/p/1306481-plyta-glowna-socket-am5-asus-tuf-gaming-b850-plus-wifi.html
2026-05-21,Płyta główna,Gigabyte B650 EAGLE AX,539.0,,https://www.x-kom.pl/p/1226980-plyta-glowna-socket-am5-gigabyte-b650-eagle-ax.html
2026-05-21,Płyta główna,Gigabyte X870 AORUS ELITE WIFI7 ICE,1119.0,,https://www.x-kom.pl/p/1282691-plyta-glowna-socket-am5-gigabyte-x870-aorus-elite-wifi7-ice.html
2026-05-21,Płyta główna,MSI B550 GAMING WIFI,575.0,,https://www.x-kom.pl/p/1480681-plyta-glowna-socket-am4-msi-b550-gaming-wifi.html
2026-05-22,Dysk,ADATA Dysk SSD External SD810 2TB USB3.2C 20Gb/s Srebrny,1349.0,,https://www.x-kom.pl/p/1211896-dysk-zewnetrzny-ssd-adata-dysk-ssd-external-sd810-2tb-usb32c-20gb-s-srebrny.html
2026-05-22,Dysk,Lexar 1TB M.2 PCIe Gen4 NVMe NM790,699.0,,https://www.x-kom.pl/p/1146134-dysk-ssd-lexar-1tb-m2-pcie-gen4-nvme-nm790.html
2026-05-22,Dysk,Samsung 2TB M.2 PCIe Gen5 NVMe 9100 PRO,2199.0,,https://www.x-kom.pl/p/1322624-dysk-ssd-samsung-2tb-m2-pcie-gen5-nvme-9100-pro.html
2026-05-22,Dysk,Seagate BARRACUDA 2TB 7200obr. 256MB,525.0,,https://www.x-kom.pl/p/461759-dysk-hdd-seagate-barracuda-2tb-7200obr-256mb.html
2026-05-22,Dysk,Synology HAT3320-8T 8TB Plus,1749.0,,https://www.x-kom.pl/p/1418298-dysk-hdd-synology-hat3320-8t-8tb-plus.html
2026-05-22,Karta graficzna,Gigabyte GeForce RTX 5070 Windforce OC 12GB GDDR7 DLSS4,2649.0,Zobacz produkty,https://www.x-kom.pl/p/1318534-karta-graficzna-nvidia-gigabyte-geforce-rtx-5070-windforce-oc-12gb-gddr7-dlss4.html
2026-05-22,Karta graficzna,Gigabyte GeForce RTX 5080 Windforce OC 16GB GDDR7 DLSS4,5999.0,,https://www.x-kom.pl/p/1309189-karta-graficzna-nvidia-gigabyte-geforce-rtx-5080-windforce-oc-16gb-gddr7-dlss4.html
2026-05-22,Karta graficzna,Gigabyte Radeon RX 9060 XT Gaming OC 16GB GDDR6,2099.0,Zobacz produkty,https://www.x-kom.pl/p/1339802-karta-graficzna-amd-gigabyte-radeon-rx-9060-xt-gaming-oc-16gb-gddr6.html
